101,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-10 22:50:00,,
102,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-10 22:51:00,,
103,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-10 22:51:00,,
104,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-10 22:51:00,,
105,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:53:00,,
106,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:53:00,,
107,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000007,7,Agregado,,,2024-07-10 22:54:00,,
108,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000008,8,Agregado,,,2024-07-10 22:56:00,,
109,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000009,9,Agregado,,,2024-07-10 23:50:00,,
110,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000009,9,Agregado,,,2024-07-10 23:51:00,,
111,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000009,9,Agregado,,,2024-07-10 23:51:00,,
112,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000009,9,Agregado,,,2024-07-10 23:52:00,,
113,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000013,13,Agregado,,,2024-07-11 16:06:00,,
114,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000013,13,Agregado,,,2024-07-11 16:06:00,,
115,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 16:28:00,,
116,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 16:37:00,,
117,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 17:13:00,,
118,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000015,15,Agregado,,,2024-07-11 17:26:00,,
119,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000015,15,Agregado,,,2024-07-11 17:27:00,,
120,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000015,15,Agregado,,,2024-07-11 17:28:00,,
121,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000002,2,Agregado,,,2024-07-11 17:46:00,,
122,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000002,2,Agregado,,,2024-07-11 17:47:00,,
123,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000002,2,Agregado,,,2024-07-11 17:48:00,,
124,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000002,2,Agregado,,,2024-07-11 17:50:00,,
125,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000002,2,Agregado,,,2024-07-11 17:53:00,,
126,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000007,7,Agregado,,,2024-07-11 17:57:00,,
127,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000008,8,Agregado,,,2024-07-11 18:01:00,,
128,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000009,9,Agregado,,,2024-07-11 18:01:00,,
129,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 18:05:00,,
130,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 18:05:00,,
131,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 18:05:00,,
132,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 18:15:00,,
133,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 18:16:00,,
134,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 18:16:00,,
135,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000004,4,Agregado,,,2024-07-11 18:33:00,,
136,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000005,5,Agregado,,,2024-07-11 18:33:00,,
137,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000004,4,Agregado,,,2024-07-11 18:34:00,,
138,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000004,4,Agregado,,,2024-07-11 18:34:00,,
139,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000004,4,Agregado,,,2024-07-11 18:34:00,,
140,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000009,9,Agregado,,,2024-07-11 18:34:00,,
141,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000010,10,Agregado,,,2024-07-11 18:35:00,,
142,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000010,10,Agregado,,,2024-07-11 18:36:00,,
143,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000012,12,Agregado,,,2024-07-11 18:41:00,,
144,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000013,13,Agregado,,,2024-07-11 18:41:00,,
145,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000014,14,Agregado,,,2024-07-11 18:43:00,,
146,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000015,15,Agregado,,,2024-07-11 18:44:00,,
147,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000015,15,Agregado,,,2024-07-11 18:44:00,,
148,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000015,15,Agregado,,,2024-07-11 18:44:00,,
149,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000018,18,Agregado,,,2024-07-11 18:46:00,,
150,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000019,19,Agregado,,,2024-07-11 18:48:00,,
151,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000018,18,Agregado,,,2024-07-11 18:48:00,,
152,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000018,18,Agregado,,,2024-07-11 18:48:00,,
153,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000022,22,Agregado,,,2024-07-11 18:49:00,,
154,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000022,22,Agregado,,,2024-07-11 18:49:00,,
155,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000022,22,Agregado,,,2024-07-11 18:49:00,,
156,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 18:54:00,,
157,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000002,2,Agregado,,,2024-07-11 18:57:00,,
158,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000003,3,Agregado,,,2024-07-11 18:58:00,,
159,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000003,3,Agregado,,,2024-07-11 18:59:00,,
160,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-11 19:02:00,,
161,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:02:00,,
162,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-11 19:02:00,,
163,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-11 19:02:00,,
164,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:02:00,,
165,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-11 19:02:00,,
166,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:02:00,,
167,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-11 19:02:00,,
168,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:02:00,,
169,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:03:00,,
170,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-11 19:03:00,,
171,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 19:03:00,,
172,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 19:03:00,,
173,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 19:04:00,,
174,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 19:04:00,,
175,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
176,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
177,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000001,1,Agregado,,,2024-07-11 19:04:00,,
178,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
179,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
180,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
181,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-11 19:04:00,,
182,SERVICIO WEB,,,Procesos,Salidas Productos,SP-000006,6,Agregado,,,2024-07-11 23:26:00,,
183,SERVICIO WEB,,,Subtabla,Tipo Presentación,F-000002,2,Agregado,,,2024-07-11 23:41:00,,
184,SERVICIO WEB,,,Subtabla,Tipo Presentación,F-000003,3,Agregado,,,2024-07-11 23:41:00,,
185,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000008,8,Agregado,,,2024-07-11 23:42:00,,
